frac,top1_f1,top100_f1,delta_f1
0.12064676616915423,0.26666666666666666,0.49382716049382713,0.017508417508417473
0.12189054726368159,0.2682926829268293,0.49624060150375937,0.019323671497584516
0.12313432835820895,0.2727272727272727,0.5,0.02020202020202
0.12437810945273632,0.275,0.5,0.020392156862745092
0.1256218905472637,0.28318584070796454,0.5,0.021256038647342934
0.12686567164179105,0.28571428571428575,0.5,0.021328958162428302
0.1281094527363184,0.29411764705882354,0.5,0.022148394241417457
0.12935323383084577,0.29545454545454547,0.5000000000000001,0.022148394241417457
0.13059701492537312,0.2962962962962963,0.5000000000000001,0.022222222222222254
0.1318407960199005,0.3,0.5060240963855422,0.022267206477732754
0.13308457711442787,0.30303030303030304,0.5128205128205128,0.022941970310391357
0.13432835820895522,0.30508474576271183,0.5128205128205129,0.023076923076923106
