rfam_id,n,top1_precision_mean,top1_recall_mean,top1_f1_mean,top100_precision_mean,top100_recall_mean,top100_f1_mean,top1_mcc_mean,top100_mcc_mean,top1_precision_median,top1_recall_median,top1_f1_median,top100_precision_median,top100_recall_median,top100_f1_median,delta_f1_mean,delta_f1_median,p_best100_ge_0p7,p_best100_ge_0p9,min_n_predictions,p_best_rank_le_10,best_rank_median,best_rank_p90,best_rank_max,p_delta_f1_ge_0p3
RF00024,4.0,0.4851495880907646,0.6454517704517705,0.5325683318948274,0.7106608669108669,0.8514957264957265,0.7529603547209182,0.5432393034757448,0.7646893110526611,0.4518716577540107,0.6837606837606838,0.5035538545653363,0.8839285714285714,0.9807692307692308,0.9296296296296296,0.2203920228260906,0.06404493716613957,0.75,0.75,100.0,0.25,57.5,81.5,83.0,0.25
RF00162,4.0,0.5468253968253969,0.6781992337164751,0.5966435745130714,0.7055091137649278,0.8310632183908045,0.7543356698879361,0.6023909129672814,0.7600578951715862,0.575,0.6777777777777778,0.6060957910014515,0.6810182275298555,0.8537931034482759,0.7725602286647612,0.15769209537486475,0.12219682762931716,0.75,0.0,100.0,0.25,78.0,81.7,82.0,0.25
RF02340,4.0,0.5702400278293135,0.7818681318681319,0.6523758911399362,0.6993337631635503,0.9240155677655677,0.7890771374964425,0.6616942995209625,0.7990000187589472,0.5350378787878788,0.8756410256410256,0.6621621621621623,0.7272727272727273,0.9432692307692307,0.8007542426147077,0.13670124635650632,0.09535591929958126,1.0,0.0,100.0,0.5,46.5,87.8,89.0,0.25
RF03013,4.0,0.5598039215686275,0.5198412698412699,0.533375226923614,0.921875,0.8878472222222222,0.9014821807101219,0.531390942936918,0.9020500276702743,0.6862745098039216,0.6111111111111112,0.6728110599078341,0.9375,0.8694444444444445,0.9261261261261261,0.3681069537865078,0.253315066218292,1.0,0.75,100.0,0.5,32.0,75.0,81.0,0.5
RF01689,3.0,0.2890056803100281,0.3925438596491228,0.3325343738387217,0.5766975308641975,0.681140350877193,0.6195429472025217,0.33263648779196336,0.6221281609584828,0.38461538461538464,0.5,0.4347826086956522,0.5925925925925926,0.8,0.6808510638297872,0.2870085733638,0.2649572649572649,0.3333333333333333,0.0,100.0,0.0,49.0,58.6,61.0,0.3333333333333333
RF00009,3.0,0.5946240554936207,0.7380952380952381,0.6367411000058608,0.6428571428571429,0.7017857142857142,0.6664778165080646,0.6504779635562378,0.6688669999267187,0.42735042735042733,0.7321428571428571,0.5076142131979695,0.5,0.5892857142857143,0.5402298850574714,0.029736716502203758,0.03261567185950187,0.3333333333333333,0.3333333333333333,100.0,0.3333333333333333,43.0,75.8,84.0,0.0
RF00010,3.0,0.6191035530621786,0.7137035583464155,0.6573777936538264,0.6803110506150434,0.6681907378335948,0.6711127903420234,0.6611353577612724,0.6720404448206936,0.6173913043478261,0.6826923076923077,0.6484018264840182,0.7126436781609196,0.6125,0.649214659685864,0.013734996688196962,0.0008128332018457751,0.3333333333333333,0.0,100.0,0.3333333333333333,51.0,54.2,55.0,0.0
RF00011,3.0,0.5323266709136274,0.5989229889439572,0.5633512438597185,0.668095088974228,0.7072563222772906,0.6865496940286259,0.5631812383539816,0.686301649869702,0.5054945054945055,0.5348837209302325,0.5197740112994349,0.7058823529411765,0.7868852459016393,0.7441860465116278,0.1231984501689074,0.024604686925417174,0.6666666666666666,0.0,100.0,0.0,70.0,78.8,81.0,0.3333333333333333
RF01857,3.0,0.5451157920670116,0.6894586894586895,0.6022706783862971,0.6722222222222222,0.8119658119658121,0.7293550331525015,0.6075518605372235,0.7343380374916331,0.625,0.7435897435897436,0.6896551724137931,0.75,0.7692307692307693,0.7594936708860761,0.1270843547662045,0.10784313725490191,0.6666666666666666,0.3333333333333333,100.0,0.0,97.0,97.0,97.0,0.0
RF01415,3.0,0.5124812030075189,0.5232323232323233,0.5140120803177886,0.7372549019607844,0.7937373737373737,0.7637056737588651,0.511812766362498,0.7628147273041591,0.56,0.6,0.5957446808510639,0.84,0.9545454545454546,0.8936170212765958,0.24969359344107667,0.2978723404255319,0.6666666666666666,0.3333333333333333,100.0,0.3333333333333333,31.0,53.4,59.0,0.3333333333333333
