truth_len,ref_pairs,ref_pk_pairs,ref_pair_density,top1_f1,top100_f1,delta_f1
93,25,0,0.26881720430107525,0.7450980392156863,0.816326530612245,0.07122849139655874
74,9,0,0.12162162162162163,0.5,0.5517241379310346,0.051724137931034586
76,10,3,0.13157894736842105,0.2631578947368421,0.35714285714285715,0.09398496240601506
75,21,5,0.28,0.975609756097561,0.975609756097561,0.0
206,61,10,0.2961165048543689,0.12403100775193798,0.2857142857142857,0.16168327796234772
184,29,0,0.15760869565217392,0.2682926829268293,0.29729729729729726,0.029004614370467974
80,14,0,0.175,0.16216216216216214,0.47058823529411764,0.30842607313195547
84,19,0,0.2261904761904762,0.7391304347826088,0.8837209302325582,0.1445904954499494
74,19,5,0.25675675675675674,0.9,0.9230769230769231,0.023076923076923106
96,18,0,0.1875,0.3921568627450981,0.5,0.10784313725490191
71,24,9,0.3380281690140845,0.8333333333333334,0.9361702127659574,0.10283687943262398
48,15,0,0.3125,1.0,1.0,0.0
91,23,3,0.25274725274725274,0.2553191489361702,0.5599999999999999,0.30468085106382975
51,9,4,0.17647058823529413,0.18181818181818185,0.4166666666666667,0.23484848484848483
35,11,0,0.3142857142857143,0.9565217391304348,1.0,0.04347826086956519
86,25,0,0.29069767441860467,0.92,0.96,0.039999999999999925
169,15,0,0.08875739644970414,0.30508474576271183,0.4905660377358491,0.18548129197313729
161,50,1,0.3105590062111801,0.9108910891089109,0.9690721649484536,0.058181075839542684
341,104,15,0.30498533724340177,0.6484018264840182,0.649214659685864,0.0008128332018457751
82,24,0,0.2926829268292683,0.8571428571428572,0.9795918367346939,0.12244897959183665
74,24,12,0.32432432432432434,0.5106382978723404,0.7058823529411765,0.19524405506883613
66,19,0,0.2878787878787879,0.6829268292682926,0.9268292682926829,0.24390243902439024
86,29,7,0.3372093023255814,0.888888888888889,0.9285714285714286,0.03968253968253965
67,14,3,0.208955223880597,0.717948717948718,0.8125000000000001,0.09455128205128216
60,19,0,0.31666666666666665,1.0,1.0,0.0
66,25,9,0.3787878787878788,0.8510638297872342,0.9583333333333334,0.10726950354609921
64,21,8,0.328125,0.8095238095238095,0.9047619047619048,0.09523809523809523
100,27,20,0.27,0.634920634920635,0.7272727272727273,0.0923520923520923
82,32,14,0.3902439024390244,0.5714285714285715,0.6984126984126984,0.12698412698412687
74,19,4,0.25675675675675674,0.32558139534883723,0.8372093023255814,0.5116279069767442
